Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
EZU,507351,0,0.0,0,0.0,40.34,486809,20542
INDA,378263,0,0.0,0,0.0,32.385,378263,0
EMHY,76949,0,0.0,0,0.0,50.22,76949,0
NEAR,35924,0,0.0,0,0.0,50.25,35524,400
PTMC,15510,0,0.0,0,0.0,28.26,15510,0
NOBL,12057,0,0.0,0,0.0,57.9,12057,0
PTLC,9233,0,0.0,0,0.0,26.14,9233,0
EMGF,8998,0,0.0,0,0.0,42.11,8998,0
IBML,7100,0,0.0,0,0.0,25.57,7100,0
EFAD,6893,0,0.0,0,0.0,36.87,6893,0
REGL,6651,0,0.0,0,0.0,51.36,6551,100
IYLD,6396,0,0.0,0,0.0,25.71,6396,0
HYXU,5228,0,0.0,0,0.0,49.93,5228,0
DYLS,5176,0,0.0,0,0.0,30.31,5176,0
PTNQ,5041,0,0.0,0,0.0,27.36,5041,0
DEZU,4908,0,0.0,0,0.0,27.66,4908,0
DDWM,4823,0,0.0,0,0.0,28.79,4823,0
EXIV,4520,0,0.0,0,0.0,29.89,1520,3000
SMIN,4195,0,0.0,0,0.0,44.75,4170,25
LVHI,3824,0,0.0,0,0.0,28.52,1500,2324
FFTI,3502,0,0.0,0,0.0,25.02,3502,0
CEFS,3451,0,0.0,0,0.0,20.7,3100,351
CNYA,3447,0,0.0,0,0.0,27.47,3447,0
GHYG,3332,0,0.0,0,0.0,49.97,3122,210
SMDV,3223,0,0.0,0,0.0,54.0,3223,0
PRNT,3127,0,0.0,0,0.0,25.81,3127,0
IAGG,2928,0,0.0,0,0.0,52.44,2928,0
VMIN,2847,0,0.0,0,0.0,28.61,2747,100
VMOT,2257,0,0.0,0,0.0,25.06,2257,0
QXGG,2119,0,0.0,0,0.0,25.79,2119,0
EFNL,2072,0,0.0,0,0.0,39.11,2072,0
ENOR,1579,0,0.0,0,0.0,21.54,1579,0
FLQL,1500,0,0.0,0,0.0,25.81,1500,0
IGHG,1488,0,0.0,0,0.0,75.91,1488,0
EWGS,1316,0,0.0,0,0.0,52.51,1316,0
ACSI,1300,0,0.0,0,0.0,28.7,500,800
LEAD,1200,0,0.0,0,0.0,28.47,300,900
PTEU,1045,0,0.0,0,0.0,28.45,1045,0
EDOM,1043,0,0.0,0,0.0,28.2,543,500
IVAL,921,0,0.0,0,0.0,30.04,921,0
NULG,871,0,0.0,0,0.0,28.7,871,0
CEMB,774,0,0.0,0,0.0,51.09,774,0
CSM,668,0,0.0,0,0.0,60.14,668,0
EDEN,545,0,0.0,0,0.0,62.89,545,0
LVHE,500,0,0.0,0,0.0,27.21,500,0
